case_id,archive_path,bytes,sha256
real_news_000185,audio/mimo_v25_tts_p1p2_200/raw/real_news_000185.wav,2127404,bdb616d24b32ae896e80e600fcef2f58a96e4666b08cf39fe58fffe836dc832a
real_news_000186,audio/mimo_v25_tts_p1p2_200/raw/real_news_000186.wav,1597484,5d9ec4ded29983292fe38d2f68a9b9ac00c02e5afa6e66e09eb49b1cbf78cc2f
real_news_000193,audio/mimo_v25_tts_p1p2_200/raw/real_news_000193.wav,2688044,d895046c8f00e6734f4017424ac6450d459b98af8bc0b0be2894f79120342651
real_news_000196,audio/mimo_v25_tts_p1p2_200/raw/real_news_000196.wav,2158124,34df62d3b617146a1e055702c700f527cf5ab1fcd31e0d5706f2937741eb44fb
real_news_000210,audio/mimo_v25_tts_p1p2_200/raw/real_news_000210.wav,2457644,6ca91cdafc6792f1fddedeb36d50d87c49a689acecb04b9a108c68b88c486f12
real_news_000211,audio/mimo_v25_tts_p1p2_200/raw/real_news_000211.wav,2127404,a0f8480cc39bebf5f020e7ccae58ee2eb80bf01d0fd35b855faf8fca5ac8001b
real_news_000212,audio/mimo_v25_tts_p1p2_200/raw/real_news_000212.wav,2672684,905cd3a7fae9994a8d0e248fdff8ec6bff908f9c217272a849659ab5b1d7c3e0
real_news_000235,audio/mimo_v25_tts_p1p2_200/raw/real_news_000235.wav,2119724,ef0639346b45361a39f69cde4b23d263ea62d501affe1b831915769425d28afd
real_news_000236,audio/mimo_v25_tts_p1p2_200/raw/real_news_000236.wav,1958444,dda94a5b12b83895a9b2a92510ed3fcb4ed8f6f66934279ac6a21883d9e5ddd9
real_news_000237,audio/mimo_v25_tts_p1p2_200/raw/real_news_000237.wav,2350124,d07948a5201710f88ecb203b9d3aa8b64cd29d2252b953e093a17edf88853b3d
real_news_000243,audio/mimo_v25_tts_p1p2_200/raw/real_news_000243.wav,2542124,6db4d7cef5203257b0c62f5e3f4afc89131dc21ff8418010cbbc9b00e220b9e8
real_news_000255,audio/mimo_v25_tts_p1p2_200/raw/real_news_000255.wav,2089004,507b3bb3f03ee178ef0d02f25374ec690cc4a8180723dda0049094887d54b2c2
real_news_000259,audio/mimo_v25_tts_p1p2_200/raw/real_news_000259.wav,2818604,1e5359e94744fbf7d4fb0adccc29c06ba8aab8bfe768ce87d0121f1b562c42af
real_news_000260,audio/mimo_v25_tts_p1p2_200/raw/real_news_000260.wav,2580524,9fcf35a6420856afc1059335f25a1a24e463c63189aa181546e5bc1ed5b08d38
real_news_000261,audio/mimo_v25_tts_p1p2_200/raw/real_news_000261.wav,2104364,a2dfa65a257ac9e2333cfc3c486f488f4709babead261ca67812f62f8c364158
real_news_000263,audio/mimo_v25_tts_p1p2_200/raw/real_news_000263.wav,2165804,8b28551c6e2cabc19fc648aa041114fb0b6cb90579cca6e09ea88f99c96ca00a
real_news_000264,audio/mimo_v25_tts_p1p2_200/raw/real_news_000264.wav,1950764,e2592ecbf3234ae316f80a52bf505cb3e21c8751e3ed7465b22ceadcc310cb4d
real_news_000270,audio/mimo_v25_tts_p1p2_200/raw/real_news_000270.wav,1812524,36eba3f03694873e17b0865c9d262248b31b911a2a530064a7f6748fc923ce7c
real_news_000272,audio/mimo_v25_tts_p1p2_200/raw/real_news_000272.wav,2281004,396c85212b50f0324c3852d8df8591ba17fc715ac0874e6c970b6bdeec0d5a2e
real_news_000273,audio/mimo_v25_tts_p1p2_200/raw/real_news_000273.wav,2257964,08135e4bbc20af80c77146e4c1cdfa31bab1897833a86c9d6956f75090d48337
real_news_000274,audio/mimo_v25_tts_p1p2_200/raw/real_news_000274.wav,2319404,3c83f5c76ef30c746c352d6f55ed979e30fb3091b1d5a26991ed18fee64c3623
real_news_000279,audio/mimo_v25_tts_p1p2_200/raw/real_news_000279.wav,1889324,d56a2f948f36fec4f51de241b0d8a2972b1b007f1d6845074a742fa1b85e5b5a
real_news_000280,audio/mimo_v25_tts_p1p2_200/raw/real_news_000280.wav,1758764,5cd49e1b1851c041c120b4cb4e7663e01e2735f939de15af8d1b60fb578053c5
real_news_000281,audio/mimo_v25_tts_p1p2_200/raw/real_news_000281.wav,1958444,123ec76307813e6804463a4ab6656b3534472c231ede85b186713bb8912f2a6e
real_news_000285,audio/mimo_v25_tts_p1p2_200/raw/real_news_000285.wav,2081324,1a66333e217e134d413f0e6e348b0f35641572c782b071447d52ffed822c78b6
real_news_000288,audio/mimo_v25_tts_p1p2_200/raw/real_news_000288.wav,1897004,b53acf9866e13f2b74617248afbc36292aebc415e4172a83652bd5d7c10d4ddf
real_news_000289,audio/mimo_v25_tts_p1p2_200/raw/real_news_000289.wav,1743404,138987f8557b7e1e428ad51ef7a3ba7cc1ad5b212100b9fb1ae1e26a5c44c17d
real_news_000291,audio/mimo_v25_tts_p1p2_200/raw/real_news_000291.wav,1912364,80ee70aa60811f374655d70d6744f2a3ca10f14452ad813e2682d5dd2a4d712a
real_news_000294,audio/mimo_v25_tts_p1p2_200/raw/real_news_000294.wav,1981484,eadd4a48c522ac5bdd6a4a3c482b87b4395dc8d7d56377e7cb93ae8ab021ec2f
real_news_000295,audio/mimo_v25_tts_p1p2_200/raw/real_news_000295.wav,2734124,87769a5407116be389616624a4d9bc7132b8fba0887ba5f1faa7e443c9657e03
real_news_000296,audio/mimo_v25_tts_p1p2_200/raw/real_news_000296.wav,2165804,0addf98dfe153abd2b3bf281a69a17c3b4de1a2fafadf8546b8f548388e1981d
real_news_000299,audio/mimo_v25_tts_p1p2_200/raw/real_news_000299.wav,2188844,e5bf7098d35d3954f880ec1609bddf9390bd406c5d4e0c9bbb3bbb9e09d15a57
real_news_000300,audio/mimo_v25_tts_p1p2_200/raw/real_news_000300.wav,2135084,cb757145da56d09fc5bfcbeb9d5ff5ceecc3adcb64be0fa4e87806cadda33e56
real_news_000301,audio/mimo_v25_tts_p1p2_200/raw/real_news_000301.wav,1904684,6df03fff4a76d3170a9348052a8e887930db86229a85fdb2a48b020daa502dfd
real_news_000303,audio/mimo_v25_tts_p1p2_200/raw/real_news_000303.wav,1904684,fe4c1406f445840d5bda08d70e38240ee04d8d419702d694103c368ec683f948
real_news_000304,audio/mimo_v25_tts_p1p2_200/raw/real_news_000304.wav,1712684,b4b771fe77d5287bf2e8057c86bc48314a5663aa3e8c641f44c8bef827a2db15
